service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200428,20200522
10,0,0,0,0,1,0,0,20200428,20200522
14,0,0,0,0,0,1,0,20200428,20200522
15,1,1,1,1,1,0,0,20200428,20200522
19,0,0,1,0,0,0,0,20200428,20200522
20,0,0,0,0,0,0,1,20200428,20200522
21,0,0,0,0,0,0,1,20200428,20200522
25,0,0,0,1,0,0,0,20200428,20200522
28,1,1,1,1,1,0,0,20200428,20200522
29,1,1,1,1,1,0,0,20200428,20200522
32,1,1,1,1,1,0,0,20200428,20200522
33,0,0,0,0,0,1,1,20200428,20200522
34,0,1,0,0,0,0,0,20200428,20200522
35,0,0,0,1,0,0,0,20200428,20200522
36,0,0,0,0,1,0,0,20200428,20200522
38,1,1,1,1,0,0,0,20200428,20200522
39,0,1,1,1,1,0,0,20200428,20200522
40,1,1,1,0,1,0,0,20200428,20200522
41,1,0,1,1,1,0,0,20200428,20200522
42,1,1,0,1,1,0,0,20200428,20200522
46,1,0,1,1,1,0,0,20200428,20200522
53,1,1,1,0,0,0,0,20200428,20200522
56,0,0,0,0,0,1,0,20200428,20200522
60,1,1,1,1,0,0,0,20200428,20200522
61,1,0,1,0,1,0,0,20200428,20200522
62,0,1,0,1,0,0,0,20200428,20200522
71,1,0,0,0,0,0,0,20200428,20200522
72,0,1,0,0,0,0,0,20200428,20200522
73,0,0,1,0,0,0,0,20200428,20200522
80,1,0,0,0,1,0,0,20200428,20200522
88,0,0,0,0,0,0,1,20200428,20200522
127,0,0,0,0,0,1,0,20200428,20200522
128,0,0,0,0,0,0,1,20200428,20200522
143,1,1,1,1,0,0,0,20200428,20200522
180,1,1,1,1,1,0,0,20200428,20200522
183,0,0,0,0,0,1,1,20200428,20200522
184,0,0,0,0,0,0,1,20200428,20200522
207,0,0,0,0,0,0,0,20200428,20200522
210,0,0,0,0,0,0,0,20200428,20200522
217,0,0,0,0,0,0,0,20200428,20200522
218,0,0,0,0,0,0,0,20200428,20200522
219,0,0,0,0,0,0,0,20200428,20200522
220,0,0,0,0,0,0,0,20200428,20200522
223,0,0,0,0,0,0,0,20200428,20200522
224,0,0,0,0,0,0,0,20200428,20200522
233,0,0,0,0,0,0,0,20200428,20200522
234,0,0,0,0,0,0,0,20200428,20200522
237,0,0,0,0,0,0,0,20200428,20200522
238,0,0,0,0,0,0,0,20200428,20200522
239,0,0,0,0,0,0,0,20200428,20200522
240,0,0,0,0,0,0,0,20200428,20200522
241,0,0,0,0,0,0,0,20200428,20200522
242,0,0,0,0,0,0,0,20200428,20200522
243,0,0,0,0,0,0,0,20200428,20200522
244,0,0,0,0,0,0,0,20200428,20200522
245,0,0,0,0,0,0,0,20200428,20200522
248,0,0,0,0,0,0,0,20200428,20200522
249,0,0,0,0,0,0,0,20200428,20200522
250,0,0,0,0,0,0,0,20200428,20200522
252,1,1,1,1,1,0,0,20200428,20200522
262,0,0,0,0,0,0,0,20200428,20200522
263,0,0,0,0,0,0,0,20200428,20200522
264,0,0,0,0,0,0,0,20200428,20200522
265,0,0,0,0,0,0,0,20200428,20200522
266,0,0,0,0,0,0,0,20200428,20200522
267,0,0,0,0,0,0,0,20200428,20200522
268,0,0,0,0,0,0,0,20200428,20200522
269,0,0,0,0,0,0,0,20200428,20200522
271,0,0,0,0,0,0,0,20200428,20200522
272,0,0,0,0,0,0,0,20200428,20200522
287,0,0,0,0,0,0,0,20200428,20200522
288,0,0,0,0,0,0,0,20200428,20200522
336,0,0,0,0,0,0,0,20200428,20200522
337,0,0,0,0,0,0,0,20200428,20200522
342,0,0,0,0,0,0,0,20200428,20200522
343,0,0,0,0,0,0,0,20200428,20200522
352,1,1,1,1,1,0,0,20200428,20200522
353,1,1,1,1,1,0,0,20200428,20200522
354,0,0,0,0,0,1,0,20200428,20200522
357,1,1,1,1,1,0,0,20200428,20200522
358,1,1,1,1,1,0,0,20200428,20200522
359,1,1,1,1,1,0,0,20200428,20200522
360,1,1,1,1,1,0,0,20200428,20200522
361,1,1,1,1,1,0,0,20200428,20200522
362,1,1,1,1,1,0,0,20200428,20200522
369,0,0,0,0,0,1,0,20200428,20200522
370,0,0,0,0,0,1,0,20200428,20200522
371,0,0,0,0,0,1,0,20200428,20200522
372,0,0,0,0,0,1,0,20200428,20200522
373,0,0,0,0,0,1,0,20200428,20200522
374,0,0,0,0,0,1,0,20200428,20200522
375,0,0,0,0,0,0,1,20200428,20200522
376,0,0,0,0,0,0,1,20200428,20200522
377,0,0,0,0,0,0,1,20200428,20200522
378,0,0,0,0,0,0,1,20200428,20200522
379,0,0,0,0,0,0,1,20200428,20200522
380,0,0,0,0,0,0,1,20200428,20200522
394,0,0,0,0,0,0,0,20200428,20200522
396,0,0,0,0,0,0,0,20200428,20200522
414,1,0,1,0,1,0,0,20200428,20200522
415,0,0,0,0,0,0,0,20200428,20200522
421,1,1,1,1,1,0,0,20200428,20200522
428,0,0,0,0,0,1,0,20200428,20200522
429,0,0,0,0,0,1,0,20200428,20200522
430,0,0,0,0,0,1,0,20200428,20200522
431,0,0,0,0,0,1,0,20200428,20200522
432,0,0,0,0,0,1,0,20200428,20200522
438,0,0,0,0,0,1,0,20200428,20200522
439,0,0,0,0,0,1,0,20200428,20200522
444,0,1,0,1,0,0,0,20200428,20200522
471,0,1,1,1,0,0,0,20200428,20200522
472,1,1,1,1,1,0,0,20200428,20200522
473,1,1,1,1,1,0,0,20200428,20200522
474,1,1,1,1,1,0,0,20200428,20200522
475,0,0,0,1,0,0,0,20200428,20200522
476,0,0,0,0,1,0,0,20200428,20200522
477,0,0,0,0,0,1,0,20200428,20200522
478,1,1,1,1,1,0,0,20200428,20200522
479,0,0,0,0,0,1,0,20200428,20200522
480,0,0,0,0,1,0,0,20200428,20200522
482,0,0,0,0,0,1,0,20200428,20200522
483,1,0,0,0,1,0,0,20200428,20200522
484,0,1,0,1,0,0,0,20200428,20200522
485,1,1,1,1,1,0,0,20200428,20200522
486,0,0,1,0,0,0,0,20200428,20200522
487,0,0,0,0,0,0,1,20200428,20200522
488,1,1,1,1,1,0,0,20200428,20200522
489,1,1,1,1,1,0,0,20200428,20200522
490,1,1,1,1,1,1,0,20200428,20200522
492,0,0,0,1,0,0,0,20200428,20200522
493,1,1,1,1,1,0,0,20200428,20200522
494,1,1,1,1,1,0,0,20200428,20200522
495,0,0,0,0,0,1,0,20200428,20200522
496,1,1,1,1,1,1,0,20200428,20200522
497,0,0,0,0,0,1,0,20200428,20200522
499,0,0,1,0,0,0,0,20200428,20200522
500,0,1,0,0,0,0,0,20200428,20200522
501,1,1,1,0,1,0,0,20200428,20200522
502,1,1,0,1,1,0,0,20200428,20200522
503,1,0,1,1,1,0,0,20200428,20200522
504,1,1,1,0,1,0,0,20200428,20200522
505,0,0,0,0,0,1,0,20200428,20200522
S71395_32,1,1,1,1,1,0,0,20200428,20200502
S71395_14,0,0,0,0,0,1,0,20200428,20200502
S71395_21,0,0,0,0,0,0,1,20200428,20200502
S73330_32,1,1,1,1,1,0,0,20200503,20200522
S73330_14,0,0,0,0,0,1,0,20200503,20200522
S73330_21,0,0,0,0,0,0,1,20200503,20200522
S73320_435,0,0,0,0,0,1,0,20200503,20200522
S73320_440,0,0,0,0,0,1,0,20200503,20200522
S73320_441,0,0,0,0,0,1,0,20200503,20200522
S73321_435,0,0,0,0,0,1,0,20200503,20200522
S73321_440,0,0,0,0,0,1,0,20200503,20200522
S73321_441,0,0,0,0,0,1,0,20200503,20200522
S73227_15,1,1,1,1,1,0,0,20200503,20200522
S72988_435,0,0,0,0,0,1,0,20200428,20200502
S72988_511,1,1,1,1,1,0,0,20200428,20200502
S73323_511,1,1,1,1,1,0,0,20200503,20200522
S72989_435,0,0,0,0,0,1,0,20200428,20200502
S72989_511,1,1,1,1,1,0,0,20200428,20200502
S73324_511,1,1,1,1,1,0,0,20200503,20200522
S72934_440,0,0,0,0,0,1,0,20200428,20200502
S72934_441,0,0,0,0,0,1,0,20200428,20200502
